19000,2300,900,1300,1100,
2300,2300,2200,2300,2900,
4600,5700,8400,5200,5700,
27700,13900,11200,18400,12300,
34500,25900,30000,33000,24500,
63200,57400,62100,31300,27600,
45100,43800,62400,32100,31700,
68300,48700,39000,37800,55600,
87500,78000,74000,72300,72400,
175300,159200,154600,170200,153800,
360100,384500,327400,355300,437400,
724000,507500,296600,293100,272800,
555600,591800,626200,641900,601700,
1203000,1224700,1342200,1448700,2016500,
